Brand,Country,Model
Mercedes-Benz,Germany,S-Class
Mercedes-Benz,Germany,SLC
Mercedes-Benz,Germany,SLK
BMW,Germany,1 Series
BMW,Germany,2 Series
BMW,Germany,2 Series Gran Coupe
BMW,Germany,3 Series
BMW,Germany,3 Series GT
BMW,Germany,5 Series
BMW,Germany,5 Series GT
BMW,Germany,6 Series
BMW,Germany,6 Series GT
BMW,Germany,7 Series
BMW,Germany,i4
BMW,Germany,i5
BMW,Germany,i7
BMW,Germany,iX
BMW,Germany,iX1
BMW,Germany,M2
BMW,Germany,M4 Competition
BMW,Germany,M4 CS
BMW,Germany,M5
BMW,Germany,M8 Coupe Competition
BMW,Germany,X1
BMW,Germany,X3
BMW,Germany,X4
BMW,Germany,X5
BMW,Germany,X6
BMW,Germany,X6 M
BMW,Germany,X7
BMW,Germany,XM
BMW,Germany,Z4
Audi,Germany,A3
Audi,Germany,A3 Cabriolet
Audi,Germany,A4
Audi,Germany,A5
Audi,Germany,A5 Cabriolet
Audi,Germany,A6
Audi,Germany,A7
Audi,Germany,A8 L
Audi,Germany,e-tron
Audi,Germany,e-tron GT
Audi,Germany,Q3
Audi,Germany,Q3 Sportback
Audi,Germany,Q5
Audi,Germany,Q7
Audi,Germany,Q8
Audi,Germany,Q8 e-tron
Audi,Germany,Q8 Sportback e-tron
Audi,Germany,R8
Audi,Germany,RS e-tron GT
Audi,Germany,RS Q8
Audi,Germany,RS 6
Audi,Germany,RS 7
Audi,Germany,S5 Sportback
Audi,Germany,TT
Lexus,Japan,ES
Lexus,Japan,LC 500h
Lexus,Japan,LM
Lexus,Japan,LS
Lexus,Japan,LX
Lexus,Japan,NX
Lexus,Japan,RX
Volvo,Sweden,EC40
Volvo,Sweden,EX30
Volvo,Sweden,EX40
Volvo,Sweden,S60
Volvo,Sweden,S90
Volvo,Sweden,XC40
Volvo,Sweden,XC60
Volvo,Sweden,XC90
Porsche,Germany,Cayenne
Porsche,Germany,Cayenne Coupe
Porsche,Germany,Cayenne Electric
Porsche,Germany,Macan EV
Porsche,Germany,Panamera
Porsche,Germany,Taycan
Land Rover,UK,Defender
Land Rover,UK,Discovery
Land Rover,UK,Range Rover
Land Rover,UK,Range Rover Evoque
Land Rover,UK,Range Rover Sport
Land Rover,UK,Range Rover Velar
Jaguar,UK,F-Pace
Jaguar,UK,F-Type
Jaguar,UK,I-Pace
Jaguar,UK,XE
Jaguar,UK,XF
BYD,China,Atto 3
BYD,China,E6
BYD,China,Emax 7
BYD,China,Seal
BYD,China,Sealion 7
Mini,UK,Cooper Countryman
Mini,UK,Cooper S
Mini,UK,Cooper SE
Mini,UK,Countryman
Mini,UK,Countryman Electric
Mini,UK,John Cooper Works
Isuzu,Japan,D-Max
Isuzu,Japan,D-Max V-Cross
Isuzu,Japan,HI-Lander
Isuzu,Japan,MU-X
Isuzu,Japan,S-Cab
Isuzu,Japan,S-Cab Z
Isuzu,Japan,V-Cross
Force Motors,India,Gurkha
Force Motors,India,Gurkha 5 Door
Force Motors,India,Urbania
Ferrari,Italy,296 GTB
Ferrari,Italy,812 Superfast
Ferrari,Italy,F8 Tributo
Ferrari,Italy,GTC4Lusso
Ferrari,Italy,Portofino
Ferrari,Italy,Roma
Ferrari,Italy,SF90 Stradale
Lamborghini,Italy,Huracán EVO
Lamborghini,Italy,Revuelto
Lamborghini,Italy,Temerario
Lamborghini,Italy,Urus
Bentley,UK,Bentayga
Bentley,UK,Bentayga EWB
Rolls-Royce,UK,Cullinan
Rolls-Royce,UK,Dawn
Rolls-Royce,UK,Ghost Series II
Rolls-Royce,UK,Spectre
Maserati,Italy,Ghibli
Maserati,Italy,Grecale
Maserati,Italy,Levante
Aston Martin,UK,DB11
Aston Martin,UK,DB12
Aston Martin,UK,DBX
Aston Martin,UK,Vanquish
Aston Martin,UK,Vantage
McLaren,UK,750S
McLaren,UK,GT
Ford,USA,Aspire
Ford,USA,Classic
Ford,USA,EcoSport
Ford,USA,Endeavour
Ford,USA,Escort
Ford,USA,Fiesta
Ford,USA,Fiesta Classic
Ford,USA,Figo
Ford,USA,Figo Aspire
Ford,USA,Focus
Ford,USA,Freestyle
Ford,USA,Fusion
Ford,USA,Ikon
Ford,USA,Mondeo
Ford,USA,Mustang
Chevrolet,USA,Aveo
Chevrolet,USA,Aveo U-VA
Chevrolet,USA,Beat
Chevrolet,USA,Captiva
Chevrolet,USA,Cruze
Chevrolet,USA,Enjoy
Chevrolet,USA,Forester
Chevrolet,USA,Optra
Chevrolet,USA,Optra Magnum
Chevrolet,USA,Optra SRV
Chevrolet,USA,Sail
Chevrolet,USA,Sail U-VA
Chevrolet,USA,Spark
Chevrolet,USA,Tavera
Chevrolet,USA,Trailblazer
Fiat,Italy,500
Fiat,Italy,500 Abarth
Fiat,Italy,Avventura
Fiat,Italy,Avventura Urban Cross
Fiat,Italy,Grande Punto
Fiat,Italy,Linea
Fiat,Italy,Linea Classic
Fiat,Italy,Palio
Fiat,Italy,Palio Adventure
Fiat,Italy,Palio Stile
Fiat,Italy,Petra
Fiat,Italy,Punto
Fiat,Italy,Punto Evo
Fiat,Italy,Siena
Fiat,Italy,Uno
Datsun,Japan,Go
Datsun,Japan,Go Cross
Datsun,Japan,Go Plus
Datsun,Japan,redi-GO
Mitsubishi,Japan,Cedia
Mitsubishi,Japan,Lancer
Mitsubishi,Japan,Montero
Mitsubishi,Japan,Outlander
Mitsubishi,Japan,Pajero
Mitsubishi,Japan,Pajero Sport
Hindustan Motors,India,Ambassador
Hindustan Motors,India,Ambassador Avigo
Hindustan Motors,India,Ambassador Classic
Hindustan Motors,India,Ambassador Grand
Hindustan Motors,India,Contessa
Hindustan Motors,India,Contessa Classic
Premier,India,Padmini
Premier,India,Premier 118NE
Premier,India,Premier 137
Premier,India,Rio
